suggested_id,level,primary_pattern,all_forms_seen,meaning,sources,num_sources
n2_315,N2,逆に,逆に | 逆に～（ぎゃくに）,conversely; on the contrary,"JLPTsensei,MaruMori,Neocities",3
n2_316,N2,限り,〜限り（は） | 限り,as long as; while… is the case; as far as,"JLPTsensei,MaruMori,Neocities",3
n1_101,N1,あくまでも,あくまでも,to the end; persistently; is still very ~,"JLPTsensei,MaruMori,Neocities",3
n1_102,N1,あらかじめ,あらかじめ,beforehand; in advance; previously,"JLPTsensei,MaruMori,Neocities",3
n1_103,N1,いかなる,いかなる,any kind of; every; whatever,"JLPTsensei,MaruMori,Neocities",3
n1_104,N1,いかにも,いかに | いかにも,indeed; really; just (like); very ~,"JLPTsensei,MaruMori,Neocities",3
n1_105,N1,およそ,およそ,about; roughly; generally; completely ~,"JLPTsensei,MaruMori,Neocities",3
n1_106,N1,かつて,かつて,once; before; formerly; former; ex-,"JLPTsensei,MaruMori,Neocities",3
n1_107,N1,かれかれ,かれ○○かれ | かれ〜かれ | かれ～かれ,sooner or later; more or less,"JLPTsensei,MaruMori,Neocities",3
n1_108,N1,か否か,か否か | か否か（かいなか）,whether or not ~,"JLPTsensei,MaruMori,Neocities",3
n1_109,N1,がましい,がましい,look like; sound like; somewhat like ~,"JLPTsensei,MaruMori",2
n1_110,N1,きっての,きっての,the most / greatest … of all,"JLPTsensei,MaruMori,Neocities",3
n1_111,N1,ぐるみ,ぐるみ,together (with); -wide,"JLPTsensei,MaruMori,Neocities",3
n1_112,N1,こそ「が,こそ「〜が・けれど」 | こそ「～が・けれど」,but; although (emphasis),"JLPTsensei,MaruMori",2
n1_113,N1,こそあれ,こそあれ,although; even though ~,"JLPTsensei,MaruMori",2
n1_114,N1,こそすれ,こそすれ,and; although; but ~,"JLPTsensei,MaruMori",2
n1_115,N1,ことこの上ない,ことこの上ない | ことこの上ない / この上ない / この上なく,the most of all; the best; nothing is more ... than ~,"JLPTsensei,MaruMori",2
n1_116,N1,こともあって,こともあって,partly because; also because of ~,"JLPTsensei,MaruMori",2
n1_117,N1,さぞ,さぞ,surely; certainly; no doubt; indeed ~,"JLPTsensei,MaruMori,Neocities",3
n1_118,N1,さも,さも,"really (seem, appear, etc.); truly; as if ~","JLPTsensei,MaruMori,Neocities",3
n1_119,N1,さもないと,さもないと,otherwise; or else; if not ~,"JLPTsensei,MaruMori,Neocities",3
n1_120,N1,じみた,じみた,to become; to appear like; to look like ~,"JLPTsensei,MaruMori,Neocities",3
n1_121,N1,ずとも,ずとも,even without doing,"MaruMori,Neocities",2
n1_122,N1,そびれる,そびれる,to miss a chance; to fail to do ~,"JLPTsensei,MaruMori",2
n1_123,N1,ためしがない,ためしがない,is never the case; have never heard of ~,"JLPTsensei,MaruMori,Neocities",3
n1_124,N1,たらたで,たら〜たで | たら～たで,if / in the case... of course / should ~,"JLPTsensei,MaruMori",2
n1_125,N1,たらところだ,たら〜ところだ | たら～ところだ,"if... (counterfactual), then would be ~","JLPTsensei,MaruMori",2
n1_126,N1,たら最後,たら最後 | たら最後 / たが最後,if you do... negative result,"JLPTsensei,MaruMori",2
n1_127,N1,たるもの たる,たるもの / たる | たるもの たる,(that) which is; in capacity of ... should,"JLPTsensei,MaruMori",2
n1_128,N1,た弾みに,た弾みに | た弾みに /た拍子に,"the moment [A], unintentionally caused something to happen","JLPTsensei,MaruMori",2
n1_129,N1,た拍子に（,/ た拍子に（… | た拍子に,the instant,"MaruMori,Neocities",2
n1_130,N1,だのだの,だの○○だの | だの〜だの | だの～だの,and; and the like; and so forth ~,"JLPTsensei,MaruMori,Neocities",3
n1_131,N1,だろうに,だろうに,"(1) surely..., but ~ (2) should have ~","JLPTsensei,MaruMori",2
n1_132,N1,ってば ったら,ってば | ってば / ったら | ってば ったら,speaking of; I told you already,"JLPTsensei,MaruMori,Neocities",3
n1_133,N1,てみせる,てみせる,I’ll do my best; I'll show you ~,"JLPTsensei,MaruMori,Neocities",3
n1_134,N1,てもどうにもならない,てもどうにもならない,it's no use; can't do anything,"JLPTsensei,MaruMori,Neocities",3
n1_135,N1,ても差し支えない（て,ても差し支えない | ても差し支えない（て…,can ~; it’s okay if ~ (compromise),"JLPTsensei,MaruMori,Neocities",3
n1_136,N1,ても知らない（てもし,ても知らない | ても知らない（てもし…,if continue... you'll end up / I don't care,"JLPTsensei,MaruMori",2
n1_137,N1,て敵わない（てかなわ,て敵わない | て敵わない（てかなわ…,can't bear to; unable to; troublesome to,"JLPTsensei,MaruMori",2
n1_138,N1,て済むことではない（,て済むことではない | て済むことではない（…,~ is not enough to solve the problem,"JLPTsensei,MaruMori",2
n1_139,N1,でなくてなんだろう,でなくてなんだろう,must be; is definitely ~,"JLPTsensei,MaruMori,Neocities",3
n1_140,N1,ではあるまいか,ではあるまいか,isn't it; I wonder if it’s not ~,"JLPTsensei,Neocities",2
n1_141,N1,ではあるまいし,ではあるまいし,it’s not like; it isn’t as if ~,"JLPTsensei,MaruMori,Neocities",3
n1_142,N1,では済まない（ではす,では済まない | では済まない（ではす…,it doesn’t end with just ~,"JLPTsensei,MaruMori",2
n1_143,N1,でもありでもある,でもあり〜でもある | でもあり～でもある,to also be; both… and ~,"JLPTsensei,MaruMori",2
n1_144,N1,でも何でもない,でも何でもない | でも何でもない /くも何ともない,not in the least; nothing like that,"JLPTsensei,MaruMori,Neocities",3
n1_145,N1,といいといい,といい○○といい | といい〜といい | といい～といい,both ... and; whether it be ... or ~,"JLPTsensei,MaruMori,Neocities",3
n1_146,N1,といえども,といえども,even if; even though; despite ~,"JLPTsensei,MaruMori,Neocities",3
n1_147,N1,といったらない,といったらない,extremely; nothing more ... than this,"JLPTsensei,MaruMori,Neocities",3
n1_148,N1,といわずといわず,といわず | といわず〜といわず | といわず～といわず,"both; not only A or B, but (overall) ~","JLPTsensei,MaruMori,Neocities",3
n1_149,N1,ところを,ところを,although (it is a certain time/condition),"JLPTsensei,MaruMori",2
n1_150,N1,とされる,とされる,is considered to; it is said that ~,"JLPTsensei,MaruMori,Neocities",3
n1_151,N1,としたことが,としたことが,"of all people, who would have thought?","JLPTsensei,MaruMori",2
n1_152,N1,とっさに,とっさに,at once; right away; promptly,"JLPTsensei,MaruMori,Neocities",3
n1_153,N1,とは打って変わって,とは打って変わって | とは打って変わって/ とは打って変わり,unlike; very different from ~,"JLPTsensei,MaruMori",2
n1_154,N1,とは比べものにならない,とは比べものにならな… | とは比べものにならない,can't compare with ~,"JLPTsensei,MaruMori",2
n1_155,N1,とみると,とみると,"as soon as one realizes ..., then ~","JLPTsensei,MaruMori",2
n1_156,N1,ともあろうものが,ともあろうものが,of all people... (surprise),"JLPTsensei,MaruMori",2
n1_157,N1,ともすれば,ともすれば,apt to (do); tend to; liable to; prone to ~,"JLPTsensei,MaruMori,Neocities",3
n1_158,N1,ともとも,とも〜とも | とも～とも,unable to draw a conclusion/ judge,"JLPTsensei,MaruMori",2
n1_159,N1,ともなく ともなしに,ともなく | ともなく / ともなしに | ともなく ともなしに | なしに | なしに / なしで,somehow; without knowing/thinking,"JLPTsensei,MaruMori,Neocities",3
n1_160,N1,とりわけ,とりわけ,especially; above all ~,"JLPTsensei,MaruMori,Neocities",3
n1_161,N1,と相まって（とあいま,と相まって | と相まって（とあいま…,"together with..., more ~","JLPTsensei,MaruMori,Neocities",3
n1_162,N1,と見るや,と見るや | と見るや（とみるや）,at the sight of; after confirming ~,"JLPTsensei,MaruMori",2
n1_163,N1,と言えなくもない（と,と言えなくもない | と言えなくもない（と…,it can also be said that ~,"JLPTsensei,MaruMori",2
n1_164,N1,どうにもない,どうにも○○ない | どうにも〜ない | どうにも～ない,not … by any means,"JLPTsensei,MaruMori,Neocities",3
n1_165,N1,ないとも限らない（な,ないとも限らない | ないとも限らない（な…,not necessarily; maybe; might ~,"JLPTsensei,MaruMori,Neocities",3
n1_166,N1,ないものか,ないものか | ないものか /ないものだろうか,isn't there; can’t we…?; can’t I…?,"JLPTsensei,Neocities",2
n1_167,N1,なりとも,なりとも,at least; even just a little,"JLPTsensei,MaruMori,Neocities",3
n1_168,N1,なりなり,なり○○なり | なり〜なり | なり～なり,[A] or [B] or something; for instance ~,"JLPTsensei,MaruMori,Neocities",3
n1_169,N1,にかかっては,にかかっては | にかかっては /にかかったら / にかかると / かかれば,"when handled by (N), becomes a different result","JLPTsensei,MaruMori",2
n1_170,N1,には及ばない（にはお,には及ばない | には及ばない（にはお…,there is no need to; no match for ~,"JLPTsensei,MaruMori,Neocities",3
n1_171,N1,には当たらない（には,には当たらない | には当たらない（には…,it’s not worth; there’s no need to ~,"JLPTsensei,MaruMori",2
n1_172,N1,にまつわる,にまつわる,to be related to; to concern with ~,"JLPTsensei,MaruMori,Neocities",3
n1_173,N1,にも増して（にもまし,にも増して | にも増して（にもまし…,more than…; above ~,"JLPTsensei,MaruMori",2
n1_174,N1,にを重ねて（にを,に〜を重ねて | に～を重ねて（に～を…,success after continuous (effort),"JLPTsensei,MaruMori",2
n1_175,N1,に値する（にあたいす,に値する | に値する（にあたいす…,to be worth; to be worthy of ~,"JLPTsensei,MaruMori,Neocities",3
n1_176,N1,に先駆けて（にさきが,に先駆けて | に先駆けて（にさきが…,prior to; being ahead of ~,"JLPTsensei,MaruMori,Neocities",3
n1_177,N1,に則って（にのっとっ,に則って | に則って（にのっとっ…,based on; according to ~,"JLPTsensei,MaruMori,Neocities",3
n1_178,N1,に引き換え（にひきか,に引き換え | に引き換え（にひきか…,compared to; in contrast to; unlike ~,"JLPTsensei,MaruMori",2
n1_179,N1,に照らして（にてらし,に照らして | に照らして（にてらし…,according to; in view of; in light of ~,"JLPTsensei,MaruMori,Neocities",3
n1_180,N1,に耐える,に耐える | に耐える / に耐えない,worth doing; cannot bear doing ~,"JLPTsensei,MaruMori",2
n1_181,N1,に言わせれば（にいわ,に言わせれば | に言わせれば（にいわ…,if you ask; if one may say ~,"JLPTsensei,MaruMori,Neocities",3
n1_182,N1,に足らない,に足らない | に足らない/に足りない,cannot; not worthy; not worth doing ~,"JLPTsensei,MaruMori",2
n1_183,N1,に足りない,/ に足りな… | に足りない,to be not worth,"MaruMori,Neocities",2
n1_184,N1,に限ったことではない,/ たこと… | に限ったことではない | に限ったことではない…,not limited to only ~,"JLPTsensei,MaruMori",2
n1_185,N1,に難くない（にかたく,に難くない | に難くない（にかたく…,easy to do; it’s not hard to ~,"JLPTsensei,MaruMori",2
n1_186,N1,のなんのって,のなんのって,extremely ~ (cannot express in words),"JLPTsensei,MaruMori,Neocities",3
n1_187,N1,のやら ものやら,のやら / ものやら /ことやら | のやら ものやら,I wonder..; unsure; I don’t know ~,"JLPTsensei,MaruMori",2
n1_188,N1,のやらのやら,のやら〜のやら | のやら～のやら,or ~ (I don't know),"JLPTsensei,MaruMori",2
n1_189,N1,はそっちのけで,はそっちのけで | はそっちのけで /をそっちのけで,ignoring (one thing) for (another),"JLPTsensei,MaruMori",2
n1_190,N1,ばこそ,ばこそ,only because ~,"JLPTsensei,MaruMori,Neocities",3
n1_191,N1,ばそれまでだ,ばそれまでだ | ばそれまでだ /たらそれまでだ,if… then it’s over,"JLPTsensei,MaruMori,Neocities",3
n1_192,N1,びる,びる | びる / びて / びた,to seem to be; to appear; to behave as ~,"JLPTsensei,Neocities",2
n1_193,N1,ぶり,ぶり | ぶり / っぷり,style; manner; way,"JLPTsensei,Neocities",2
n1_194,N1,べく,べく,in order to; for the purpose of ~,"JLPTsensei,MaruMori,Neocities",3
n1_195,N1,べくして,べくして,as it is bound to (happen),"JLPTsensei,MaruMori",2
n1_196,N1,べくもない,べくもない,cannot possibly be ~,"JLPTsensei,MaruMori,Neocities",3
n1_197,N1,ほうがましだ,ほうがましだ,better than; would rather ~,"JLPTsensei,MaruMori,Neocities",3
n1_198,N1,ほどのことではない,ほどのことではない,it's not worth; no need to ~,"JLPTsensei,MaruMori",2
n1_199,N1,まくる,まくる,to do over and over again,"JLPTsensei,MaruMori",2
n1_200,N1,までもない までもなく,までもない | までもない / までもなく | までもない までもなく,there's no need to; not necessary to ~,"JLPTsensei,MaruMori,Neocities",3
n1_201,N1,まるっきり,まるっきり,completely; totally; (not) at all ~,"JLPTsensei,MaruMori,Neocities",3
n1_202,N1,もしくは,もしくは,or; otherwise,"JLPTsensei,MaruMori,Neocities",3
n1_203,N1,もしないで,もしないで,without even doing ~,"JLPTsensei,MaruMori,Neocities",3
n1_204,N1,ものと思われる,ものと思われる | ものと思われる /ものと見られる,to think; to suppose; it is believed/expected that ~,"JLPTsensei,MaruMori,Neocities",3
n1_205,N1,もはや,もはや,already; now; no longer; not anymore,"JLPTsensei,MaruMori,Neocities",3
n1_206,N1,も同然だ（もどうぜん,も同然だ | も同然だ（もどうぜん…,just like; same as~,"JLPTsensei,MaruMori",2
n1_207,N1,も顧みず（,/ も顧みず（… | も顧みず / を顧みず,regardless of; despite,"MaruMori,Neocities",2
n1_208,N1,やしない,やしない,"should do, but don't; there's no way ~","JLPTsensei,MaruMori,Neocities",3
n1_209,N1,やれやれ,やれ〜やれ | やれ～やれ,give 2 representative examples (negative),"JLPTsensei,MaruMori",2
n1_210,N1,ようが ようと,ようが / ようと | ようが ようと,even if; no matter how/what ~,"JLPTsensei,MaruMori",2
n1_211,N1,ようがようが,ようが〜ようが /ようと〜ようと | ようが～ようが,no matter; whether; even if [A] or [B],"JLPTsensei,MaruMori",2
n1_212,N1,わわで,わ〜わで,and (list neg. things happening at same time),"JLPTsensei,MaruMori",2
n1_213,N1,を兼ねて,を兼ねて | を兼ねて（をかねて）,also for the purpose of ~,"JLPTsensei,MaruMori,Neocities",3
n1_214,N1,を境に,を境に | を境に（をさかいに）,since ~ (indicates large change),"JLPTsensei,MaruMori",2
n1_215,N1,を押して,を押して | を押して /を押し切って,to overcome (opposition),"JLPTsensei,MaruMori",2
n1_216,N1,を控えて,を控えて | を控えて（をひかえて）,to be soon; the time has come to ~,"JLPTsensei,MaruMori",2
n1_217,N1,を経て,を経て | を経て（をへて）,through; by way of; after; via ~,"JLPTsensei,MaruMori,Neocities",3
n1_218,N1,を踏まえて（をふまえ,を踏まえて | を踏まえて（をふまえ…,to be based on; to take into account ~,"JLPTsensei,MaruMori,Neocities",3
n1_219,N1,を限りに,を限りに | を限りに（をかぎりに）,starting from; the last time,"JLPTsensei,MaruMori,Neocities",3
n1_220,N1,を顧みず,を顧みず | を顧みず / も顧みず,despite; regardless of ~,"JLPTsensei,MaruMori",2
n1_221,N1,並み,並み | 並み（なみ）,average; equal to; on par with ~,"JLPTsensei,MaruMori",2
n1_222,N1,何しろ,何しろ | 何しろ（なにしろ）,anyway; because; as you know ~,"JLPTsensei,MaruMori,Neocities",3
n1_223,N1,切りがない（きりがな,切りがない | 切りがない（きりがな…,endless; boundless; there’s no end to ~,"JLPTsensei,MaruMori",2
n1_224,N1,尽くす,尽くす | 尽くす（つくす）,to use up (completely),"JLPTsensei,MaruMori",2
n1_225,N1,思いをする（おもいを,思いをする | 思いをする（おもいを…,to think; to feel ~,"JLPTsensei,MaruMori,Neocities",3
n1_226,N1,折に,折に | 折に（おりに）,when; at the time; on the occasion ~,"JLPTsensei,MaruMori,Neocities",3
n1_227,N1,損なう 損ねる,損なう / 損ねる /損じる | 損なう 損ねる,to fail to; miss a chance,"JLPTsensei,MaruMori",2
n1_228,N1,放題,放題 | 放題（ほうだい）,doing as one pleases; uncontrolled,"JLPTsensei,MaruMori",2
n1_229,N1,敢えて,あえて | 敢えて | 敢えて（あえて）,dare to; deliberately; purposely ~,"JLPTsensei,MaruMori,Neocities",3
n1_230,N1,案の定,案の定 | 案の定（あんのじょう）,just as one thought; sure enough,"JLPTsensei,MaruMori,Neocities",3
n1_231,N1,極まる,極まる | 極まる / 極まりない,extremely; very ~,"JLPTsensei,MaruMori,Neocities",3
n1_232,N1,甲斐もなく（かいもな,甲斐もなく | 甲斐もなく（かいもな…,despite; even though ~,"JLPTsensei,MaruMori",2
n1_233,N1,羽目になる（はめにな,羽目になる | 羽目になる（はめにな…,to get stuck with (unpleasant),"JLPTsensei,MaruMori,Neocities",3
n1_234,N1,術がない,術がない | 術がない（すべがない）,there is no way / means; cannot do ~,"JLPTsensei,MaruMori",2
